Id,"Created At","Updated At",Type,Status,"Steam ID",Exterior,"Trade token",Qty,Amount,Currency,"Amount EUR (Approx.)",Name,"Transaction Id","Item Id"
97682956,"2017-04-01 00:01:40","2017-04-01 00:01:40","Product Commission",Complete,,,,1,-1.84,USD,-1.69,"Osiris: New Dawn EARLY ACCESS STEAM CD-KEY GLOBAL",44939589,50504188
97682957,"2017-04-01 00:01:40","2017-04-01 00:01:40","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44939589,50504188
97682958,"2017-04-01 00:01:40","2017-04-01 00:01:40",Product,Complete,,,,1,16.97,USD,15.58,"Osiris: New Dawn EARLY ACCESS STEAM CD-KEY GLOBAL",44939589,50504188
97683445,"2017-04-01 00:07:02","2017-04-01 00:07:02","Product Commission",Complete,,,,1,-0.85,EUR,-0.85,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44939792,50504430
97683449,"2017-04-01 00:07:02","2017-04-01 00:07:02","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44939792,50504430
97683450,"2017-04-01 00:07:02","2017-04-01 00:07:02",Product,Complete,,,,1,7.83,EUR,7.83,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44939792,50504430
97683943,"2017-04-01 00:12:02","2017-04-01 00:12:02","Product Commission",Complete,,,,1,-0.53,USD,-0.49,"Headlander STEAM CD-KEY GLOBAL",44939994,50504680
97683946,"2017-04-01 00:12:02","2017-04-01 00:12:02","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44939994,50504680
97683947,"2017-04-01 00:12:02","2017-04-01 00:12:02",Product,Complete,,,,1,4.90,USD,4.50,"Headlander STEAM CD-KEY GLOBAL",44939994,50504680
97686723,"2017-04-01 00:43:34","2017-04-01 00:43:34","Product Commission",Complete,,,,1,-1.84,USD,-1.69,"Osiris: New Dawn EARLY ACCESS STEAM CD-KEY GLOBAL",44941120,50505998
97686724,"2017-04-01 00:43:34","2017-04-01 00:43:34","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44941120,50505998
97686725,"2017-04-01 00:43:34","2017-04-01 00:43:34",Product,Complete,,,,1,16.97,USD,15.58,"Osiris: New Dawn EARLY ACCESS STEAM CD-KEY GLOBAL",44941120,50505998
97692373,"2017-04-01 01:46:08","2017-04-01 01:46:08","Product Commission",Complete,,,,1,-0.91,USD,-0.84,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44943257,50508533
97692374,"2017-04-01 01:46:08","2017-04-01 01:46:08","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44943257,50508533
97692375,"2017-04-01 01:46:08","2017-04-01 01:46:08",Product,Complete,,,,1,8.36,USD,7.67,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44943257,50508533
97701414,"2017-04-01 03:53:02","2017-04-01 03:53:02","Product Commission",Complete,,,,1,-0.91,USD,-0.84,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44947046,50512938
97701415,"2017-04-01 03:53:02","2017-04-01 03:53:02","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44947046,50512938
97701416,"2017-04-01 03:53:02","2017-04-01 03:53:02",Product,Complete,,,,1,8.36,USD,7.67,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44947046,50512938
97725635,"2017-04-01 09:17:04","2017-04-01 09:17:04","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6061920,42354
97725720,"2017-04-01 09:17:31","2017-04-01 09:17:31","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6050869,42710
97728708,"2017-04-01 09:45:06","2017-04-01 09:45:06","Product Commission",Complete,,,,1,-3.58,PLN,-0.85,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44958282,50526270
97728709,"2017-04-01 09:45:06","2017-04-01 09:45:06","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44958282,50526270
97728710,"2017-04-01 09:45:06","2017-04-01 09:45:06",Product,Complete,,,,1,32.98,PLN,7.80,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44958282,50526270
97735056,"2017-04-01 10:41:46","2017-04-01 10:41:46","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6061920,42354
97738083,"2017-04-01 11:07:35","2017-04-01 11:07:35","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6050870,37492
97738148,"2017-04-01 11:08:07","2017-04-01 11:08:07","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6023906,82494
97738159,"2017-04-01 11:08:13","2017-04-01 11:08:13","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6023904,79929
97738192,"2017-04-01 11:08:41","2017-04-01 11:08:41","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6061919,47197
97738282,"2017-04-01 11:09:22","2017-04-01 11:09:22","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6050871,42035
97738421,"2017-04-01 11:10:25","2017-04-01 11:10:25","Auction Price Change",Complete,,,,1,-0.15,EUR,-0.15,,6061919,47197
97738899,"2017-04-01 11:13:56","2017-04-01 11:13:56","Product Commission",Complete,,,,1,-0.85,EUR,-0.85,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44962620,50531406
97738900,"2017-04-01 11:13:56","2017-04-01 11:13:56","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44962620,50531406
97738901,"2017-04-01 11:13:56","2017-04-01 11:13:56",Product,Complete,,,,1,7.83,EUR,7.83,"Microsoft Flight Simulator X: Steam Edition STEAM CD-KEY GLOBAL",44962620,50531406
97739656,"2017-04-01 11:20:04","2017-04-01 11:20:04","Product Commission",Complete,,,,1,-6.49,PLN,-1.53,"Danganronpa: Trigger Happy Havoc STEAM CD-KEY GLOBAL",44962928,50531759
97739657,"2017-04-01 11:20:04","2017-04-01 11:20:04","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44962928,50531759
97739658,"2017-04-01 11:20:04","2017-04-01 11:20:04",Product,Complete,,,,1,60.19,PLN,14.24,"Danganronpa: Trigger Happy Havoc STEAM CD-KEY GLOBAL",44962928,50531759
97739659,"2017-04-01 11:20:04","2017-04-01 11:20:04","Product Commission",Complete,,,,1,-6.49,PLN,-1.53,"Danganronpa 2: Goodbye Despair STEAM CD-KEY GLOBAL",44962928,50531760
97739663,"2017-04-01 11:20:04","2017-04-01 11:20:04","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44962928,50531760
97739664,"2017-04-01 11:20:04","2017-04-01 11:20:04",Product,Complete,,,,1,60.19,PLN,14.24,"Danganronpa 2: Goodbye Despair STEAM CD-KEY GLOBAL",44962928,50531760
97751900,"2017-04-01 12:57:02","2017-04-01 12:57:02","Product Commission",Complete,,,,1,-2.57,PLN,-0.61,"BlazBlue: Chronophantasma Extend STEAM CD-KEY GLOBAL",44967537,50537283
97751901,"2017-04-01 12:57:02","2017-04-01 12:57:02","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44967537,50537283
97751902,"2017-04-01 12:57:02","2017-04-01 12:57:02",Product,Complete,,,,1,23.97,PLN,5.67,"BlazBlue: Chronophantasma Extend STEAM CD-KEY GLOBAL",44967537,50537283
97753006,"2017-04-01 13:05:03","2017-04-01 13:05:03","Product Commission",Complete,,,,1,-4.46,PLN,-1.05,"Disgaea PC STEAM CD-KEY GLOBAL",44968289,50538188
97753008,"2017-04-01 13:05:03","2017-04-01 13:05:03","Successful Transaction Fee",Complete,,,,1,-0.35,EUR,-0.35,,44968289,50538188
